order_ID,order_category,payment_status,customer_ID,Store_ID,Order_date
1,pickup,Pending,1,1,2023-11-03
2,delivery,Pending,2,2,2023-11-09
3,pickup,Completed,3,3,2023-11-15
4,pickup,Completed,4,4,2023-11-05
5,pickup,Completed,5,5,2023-11-03
6,pickup,Completed,6,1,2023-10-31
7,walk in,Completed,7,2,2023-11-07
8,pickup,Pending,8,3,2023-11-14
9,pickup,Pending,9,4,2023-10-29
10,walk in,Completed,10,5,2023-10-23
11,delivery,Pending,11,1,2023-11-17
12,walk in,Completed,12,2,2023-11-01
13,delivery,Completed,13,3,2023-10-29
14,pickup,Pending,14,4,2023-10-28
15,delivery,Pending,15,5,2023-10-24
16,walk in,Completed,16,1,2023-10-25
17,pickup,Completed,17,2,2023-10-27
18,pickup,Pending,18,3,2023-11-08
19,walk in,Completed,19,4,2023-11-03
20,delivery,Completed,20,5,2023-11-15
21,delivery,Completed,21,1,2023-11-14
22,delivery,Pending,22,2,2023-11-05
23,pickup,Completed,23,3,2023-11-08
24,pickup,Completed,24,5,2023-11-13
25,pickup,Completed,25,3,2023-11-12
26,walk in,Pending,26,1,2023-10-22
27,pickup,Completed,27,2,2023-11-10
28,walk in,Completed,28,3,2023-11-17
29,walk in,Pending,29,5,2023-11-15
30,walk in,Completed,30,3,2023-11-06
31,pickup,Pending,31,1,2023-10-31
32,walk in,Pending,32,2,2023-11-07
33,pickup,Pending,33,3,2023-11-11
34,delivery,Completed,34,5,2023-11-02
35,delivery,Completed,35,3,2023-11-06
36,pickup,Pending,36,1,2023-11-15
37,delivery,Pending,37,2,2023-11-10
38,pickup,Pending,38,3,2023-11-17
39,delivery,Pending,39,5,2023-11-01
40,walk in,Completed,40,3,2023-11-13
41,pickup,Completed,41,1,2023-10-22
42,walk in,Completed,42,2,2023-11-20
43,walk in,Completed,43,3,2023-11-06
44,delivery,Pending,44,5,2023-10-25
45,delivery,Pending,45,3,2023-10-26
46,walk in,Completed,46,1,2023-11-03
47,walk in,Completed,47,2,2023-11-18
48,pickup,Pending,48,3,2023-10-27
49,pickup,Completed,49,5,2023-11-11
50,pickup,Completed,50,3,2023-11-06
51,walk in,Completed,51,1,2023-11-11
52,delivery,Completed,52,2,2023-11-14
53,walk in,Completed,53,3,2023-11-04
54,pickup,Pending,54,5,2023-10-28
55,delivery,Pending,55,3,2023-10-22
56,pickup,Completed,56,1,2023-11-06
57,walk in,Completed,57,2,2023-11-03
58,pickup,Completed,58,3,2023-10-25
59,walk in,Completed,59,5,2023-10-30
60,walk in,Pending,60,3,2023-11-14
61,delivery,Completed,61,1,2023-10-22
62,walk in,Pending,62,2,2023-10-26
63,delivery,Completed,63,3,2023-10-22
64,walk in,Pending,64,5,2023-11-07
65,walk in,Completed,65,3,2023-11-08
66,walk in,Completed,29,1,2023-11-03
67,delivery,Completed,16,2,2023-11-19
68,pickup,Pending,6,3,2023-11-19
69,delivery,Pending,25,5,2023-11-12
70,delivery,Pending,13,3,2023-11-10
71,delivery,Pending,33,1,2023-10-28
72,walk in,Completed,6,2,2023-11-05
73,pickup,Pending,42,3,2023-11-13
74,pickup,Pending,5,5,2023-10-30
75,walk in,Pending,13,3,2023-10-23
76,delivery,Completed,39,1,2023-11-03
77,delivery,Pending,25,2,2023-10-30
78,delivery,Completed,45,3,2023-11-21
79,walk in,Pending,64,5,2023-10-23
80,walk in,Pending,15,3,2023-11-03
81,delivery,Completed,37,1,2023-10-28
82,walk in,Pending,21,2,2023-11-18
83,walk in,Pending,45,3,2023-11-02
84,pickup,Pending,33,5,2023-11-10
85,walk in,Completed,64,3,2023-10-28
86,delivery,Pending,31,1,2023-10-22
87,pickup,Pending,35,2,2023-11-03
88,walk in,Pending,17,3,2023-11-09
89,delivery,Completed,41,5,2023-11-02
90,walk in,Completed,13,3,2023-10-24
91,walk in,Completed,11,1,2023-11-20
92,delivery,Pending,21,2,2023-10-27
93,walk in,Completed,62,3,2023-10-26
94,walk in,Pending,39,5,2023-11-06
95,pickup,Pending,5,3,2023-11-02
96,pickup,Pending,22,1,2023-10-28
97,walk in,Pending,54,2,2023-10-29
98,delivery,Completed,9,3,2023-11-20
99,walk in,Pending,17,5,2023-10-26
100,delivery,Pending,44,3,2023-11-08
